image_name,predict_class
9445.jpg,dog
11463.jpg,cat
3188.jpg,cat
6645.jpg,cat
9854.jpg,cat
11539.jpg,dog
3419.jpg,dog
10958.jpg,cat
10260.jpg,cat
4920.jpg,cat
8827.jpg,dog
8397.jpg,cat
12136.jpg,cat
10124.jpg,dog
6170.jpg,cat
10478.jpg,dog
11138.jpg,dog
7586.jpg,cat
4410.jpg,dog
8612.jpg,dog
105.jpg,dog
3115.jpg,dog
12220.jpg,cat
6544.jpg,dog
8157.jpg,dog
11938.jpg,dog
9759.jpg,cat
838.jpg,cat
11438.jpg,dog
3924.jpg,dog
11875.jpg,cat
8459.jpg,cat
567.jpg,cat
10974.jpg,dog
10853.jpg,dog
2241.jpg,dog
12236.jpg,cat
10756.jpg,dog
4364.jpg,cat
1470.jpg,dog
7235.jpg,cat
1160.jpg,cat
10048.jpg,dog
5965.jpg,dog
2421.jpg,cat
1322.jpg,cat
8518.jpg,dog
283.jpg,cat
5829.jpg,dog
204.jpg,dog
10846.jpg,cat
9962.jpg,dog
4298.jpg,cat
9855.jpg,cat
11696.jpg,dog
5658.jpg,dog
1990.jpg,dog
4783.jpg,dog
840.jpg,cat
2555.jpg,dog
1544.jpg,dog
9207.jpg,dog
11711.jpg,dog
3280.jpg,cat
11188.jpg,dog
6072.jpg,dog
5303.jpg,cat
6528.jpg,cat
9645.jpg,dog
8311.jpg,cat
4315.jpg,dog
5625.jpg,dog
5177.jpg,dog
4342.jpg,dog
7564.jpg,dog
9687.jpg,dog
8204.jpg,cat
5312.jpg,cat
11377.jpg,cat
3592.jpg,dog
3549.jpg,cat
8814.jpg,cat
6561.jpg,cat
7182.jpg,cat
10607.jpg,cat
2050.jpg,dog
8598.jpg,cat
9802.jpg,cat
4824.jpg,dog
11031.jpg,cat
2160.jpg,dog
8644.jpg,cat
6192.jpg,dog
3054.jpg,cat
149.jpg,cat
2062.jpg,dog
3781.jpg,cat
7391.jpg,cat
7103.jpg,cat
8220.jpg,cat
1757.jpg,cat
12205.jpg,cat
11194.jpg,cat
6215.jpg,dog
10332.jpg,dog
11403.jpg,cat
3352.jpg,cat
11596.jpg,cat
11474.jpg,cat
7153.jpg,dog
2674.jpg,cat
4604.jpg,cat
9144.jpg,dog
858.jpg,dog
2223.jpg,dog
1346.jpg,cat
6083.jpg,cat
3411.jpg,cat
12310.jpg,cat
6741.jpg,dog
4863.jpg,cat
9091.jpg,cat
7107.jpg,dog
11164.jpg,dog
2296.jpg,cat
7421.jpg,dog
1787.jpg,dog
8996.jpg,cat
10684.jpg,dog
2735.jpg,cat
9504.jpg,dog
12268.jpg,dog
5640.jpg,dog
3318.jpg,cat
9622.jpg,cat
1527.jpg,cat
11069.jpg,dog
11039.jpg,cat
8737.jpg,cat
6894.jpg,cat
10433.jpg,dog
10679.jpg,cat
7197.jpg,cat
1494.jpg,cat
7717.jpg,dog
11985.jpg,dog
4616.jpg,dog
3551.jpg,cat
10456.jpg,cat
1434.jpg,dog
7747.jpg,dog
7397.jpg,cat
2911.jpg,dog
2750.jpg,cat
5272.jpg,cat
962.jpg,dog
5783.jpg,dog
10682.jpg,cat
3228.jpg,cat
5557.jpg,cat
12303.jpg,dog
9048.jpg,cat
736.jpg,dog
7934.jpg,dog
10271.jpg,dog
7940.jpg,cat
3613.jpg,dog
9124.jpg,cat
6363.jpg,dog
9089.jpg,cat
10240.jpg,cat
10234.jpg,cat
127.jpg,dog
5090.jpg,dog
7022.jpg,cat
11384.jpg,cat
11420.jpg,dog
3947.jpg,dog
9286.jpg,dog
2730.jpg,dog
5274.jpg,dog
4834.jpg,dog
2728.jpg,cat
10516.jpg,dog
4548.jpg,dog
8095.jpg,dog
1793.jpg,cat
5072.jpg,dog
5003.jpg,dog
1937.jpg,dog
10795.jpg,dog
6685.jpg,dog
4635.jpg,dog
11267.jpg,cat
10272.jpg,cat
8313.jpg,cat
8409.jpg,cat
3120.jpg,dog
12263.jpg,dog
10905.jpg,dog
10818.jpg,cat
5854.jpg,cat
2122.jpg,dog
10797.jpg,cat
9841.jpg,dog
2715.jpg,cat
3607.jpg,cat
8402.jpg,cat
1879.jpg,cat
6037.jpg,cat
10921.jpg,cat
6488.jpg,cat
3694.jpg,cat
2516.jpg,cat
6419.jpg,cat
4676.jpg,dog
5041.jpg,cat
10482.jpg,cat
3238.jpg,dog
5797.jpg,cat
7451.jpg,dog
9132.jpg,dog
4612.jpg,cat
5684.jpg,dog
10471.jpg,cat
5777.jpg,dog
8197.jpg,dog
10429.jpg,dog
3135.jpg,cat
7917.jpg,cat
9312.jpg,dog
10422.jpg,cat
12207.jpg,dog
77.jpg,dog
6435.jpg,dog
6800.jpg,dog
8531.jpg,cat
1304.jpg,dog
2664.jpg,dog
11205.jpg,dog
1060.jpg,cat
11233.jpg,cat
8422.jpg,dog
9509.jpg,dog
5548.jpg,dog
8909.jpg,cat
5830.jpg,cat
1340.jpg,dog
4307.jpg,dog
10446.jpg,dog
2084.jpg,dog
10845.jpg,dog
157.jpg,cat
10452.jpg,cat
9684.jpg,dog
11259.jpg,cat
50.jpg,cat
7494.jpg,dog
3949.jpg,dog
6801.jpg,cat
5961.jpg,cat
6186.jpg,dog
5048.jpg,dog
4338.jpg,dog
2278.jpg,cat
8208.jpg,dog
9107.jpg,cat
3567.jpg,dog
10671.jpg,cat
4247.jpg,dog
1868.jpg,cat
1220.jpg,cat
9287.jpg,dog
5138.jpg,cat
6531.jpg,cat
7129.jpg,dog
10391.jpg,cat
172.jpg,dog
1316.jpg,cat
3444.jpg,cat
1350.jpg,dog
12315.jpg,dog
5635.jpg,dog
2314.jpg,cat
6602.jpg,dog
1179.jpg,dog
8037.jpg,dog
3581.jpg,cat
2101.jpg,dog
6747.jpg,cat
4.jpg,dog
10628.jpg,cat
1072.jpg,dog
8202.jpg,dog
11156.jpg,cat
3311.jpg,cat
358.jpg,dog
8093.jpg,cat
1493.jpg,dog
9612.jpg,dog
6012.jpg,dog
11215.jpg,cat
4648.jpg,cat
9303.jpg,cat
5411.jpg,dog
8765.jpg,cat
10090.jpg,cat
4373.jpg,cat
3231.jpg,cat
10796.jpg,cat
10002.jpg,cat
10923.jpg,cat
8650.jpg,cat
10416.jpg,cat
216.jpg,dog
4944.jpg,cat
5139.jpg,cat
1986.jpg,dog
2951.jpg,dog
4918.jpg,cat
1105.jpg,dog
9614.jpg,cat
7995.jpg,cat
2482.jpg,dog
1339.jpg,cat
1345.jpg,cat
8654.jpg,dog
4022.jpg,cat
2952.jpg,dog
12206.jpg,dog
3773.jpg,cat
3452.jpg,dog
2838.jpg,cat
9853.jpg,cat
5667.jpg,dog
10411.jpg,cat
9979.jpg,cat
2565.jpg,cat
3190.jpg,cat
9080.jpg,dog
5892.jpg,dog
10738.jpg,dog
9155.jpg,dog
5927.jpg,cat
1881.jpg,dog
267.jpg,cat
86.jpg,cat
8507.jpg,cat
1237.jpg,dog
3413.jpg,dog
9154.jpg,cat
4255.jpg,dog
355.jpg,dog
3294.jpg,dog
547.jpg,dog
1806.jpg,cat
10503.jpg,cat
550.jpg,cat
10354.jpg,dog
5180.jpg,dog
7511.jpg,cat
1087.jpg,cat
5980.jpg,cat
11485.jpg,cat
284.jpg,dog
2311.jpg,dog
5395.jpg,dog
12095.jpg,dog
465.jpg,cat
10338.jpg,cat
3383.jpg,dog
10012.jpg,cat
2213.jpg,cat
12002.jpg,cat
